name;align;eye;hair;sex;appearances;first_appearance
Beta Ray Bill (Earth-616);Добрый персонаж;Белые глаза;Без волос;Мужской персонаж;153;1983
Samuel Sterns (Earth-616);Злой персонаж;Красные глаза;Черные волосы;Мужской персонаж;152;1964
Leech (Earth-616);Добрый персонаж;Белые глаза;Без волос;Мужской персонаж;152;1984
Glenn Talbot (Earth-616);Нейтральный персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;151;1964
Bug (Earth-616);Добрый персонаж;Желтые глаза;Зеленые волосы;Мужской персонаж;151;1979
Peter Petruski (Earth-616);Злой персонаж;Темно-карие глаза;;Мужской персонаж;150;1963
Julie Power (Earth-616);Добрый персонаж;Голубые глаза;Светло-розовые волосы;Женский персонаж;150;1984
Giuletta Nefaria (Earth-616);Злой персонаж;Серые глаза;Черные волосы;Женский персонаж;149;1968
Robert Ralston (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;148;1963
Maximus (Earth-616);Нейтральный персонаж;Голубые глаза;Черные волосы;Мужской персонаж;147;1966
Genis-Vell (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;147;1993
Hisako Ichiki (Earth-616);Добрый персонаж;Черные глаза;Черные волосы;Женский персонаж;147;2004
Dmitri Smerdyakov (Earth-616);Злой персонаж;Разноцветные глаза;Разноцветные волосы;Мужской персонаж;146;1963
Eliot Franklin (Thunderball) (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;146;1974
X-51 (Earth-616);Добрый персонаж;Красные глаза;Черные волосы;Мужской персонаж;146;1977
Madelyne Pryor (Earth-616);Злой персонаж;Зеленые глаза;;Женский персонаж;146;1983
Adolf Hitler (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;145;1940
Herman Schultz (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;145;1967
Noriko Ashida (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;145;2004
Chen Lu (Earth-616);Злой персонаж;Темно-карие глаза;;Мужской персонаж;144;1963
Ulysses Klaw (Earth-616);Злой персонаж;Красные глаза;;Мужской персонаж;143;1966
Cessily Kincaid (Earth-616);Добрый персонаж;Серебристые глаза;;Женский персонаж;143;2003
Kyle Gibney (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Мужской персонаж;142;1983
Jack Monroe (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;141;1953
Madeline Joyce (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;140;1943
George Tarleton (Earth-616);Злой персонаж;Белые глаза;Каштановые волосы;Мужской персонаж;140;1967
Jocasta (Earth-616);Добрый персонаж;Красные глаза;Без волос;Женский персонаж;140;1977
Peter Wisdom (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;140;1995
Jeffrey Mace (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;139;1940
Aquaria Neptunia (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;139;1947
Dragon Man (Earth-616);Добрый персонаж;Серые глаза;Без волос;Мужской персонаж;139;1965
Narya (Earth-616);Добрый персонаж;Белые глаза;Русые волосы;Женский персонаж;138;1979
Burglar (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Мужской персонаж;137;1962
Dino Manelli (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;137;1963
Peter Parker (Kaine) (Earth-616);Добрый персонаж;Карие глаза;Каштановые волосы;Мужской персонаж;137;1994
Nightmare (Earth-616);Злой персонаж;Черные глаза;Черные волосы;Мужской персонаж;136;1963
